西元日期,星期,是否放假,備註
20220101,六,2,開國紀念日
20220102,日,2,
20220103,一,0,
20220104,二,0,
20220105,三,0,
20220106,四,0,
20220107,五,0,
20220108,六,2,
20220109,日,2,
20220110,一,0,
20220111,二,0,
20220112,三,0,
20220113,四,0,
20220114,五,0,
20220115,六,2,
20220116,日,2,
20220117,一,0,
20220118,二,0,
20220119,三,0,
20220120,四,0,
20220121,五,0,
20220122,六,0,補行上班
20220123,日,2,
20220124,一,0,
20220125,二,0,
20220126,三,0,
20220127,四,0,
20220128,五,0,
20220129,六,2,
20220130,日,2,
20220131,一,2,農曆除夕
20220201,二,2,春節
20220202,三,2,春節
20220203,四,2,春節
20220204,五,2,調整放假
20220205,六,2,
20220206,日,2,
20220207,一,0,
20220208,二,0,
20220209,三,0,
20220210,四,0,
20220211,五,0,
20220212,六,2,
20220213,日,2,
20220214,一,0,
20220215,二,0,
20220216,三,0,
20220217,四,0,
20220218,五,0,
20220219,六,2,
20220220,日,2,
20220221,一,0,
20220222,二,0,
20220223,三,0,
20220224,四,0,
20220225,五,0,
20220226,六,2,
20220227,日,2,
20220228,一,2,和平紀念日
20220301,二,0,
20220302,三,0,
20220303,四,0,
20220304,五,0,
20220305,六,2,
20220306,日,2,
20220307,一,0,
20220308,二,0,
20220309,三,0,
20220310,四,0,
20220311,五,0,
20220312,六,2,
20220313,日,2,
20220314,一,0,
20220315,二,0,
20220316,三,0,
20220317,四,0,
20220318,五,0,
20220319,六,2,
20220320,日,2,
20220321,一,0,
20220322,二,0,
20220323,三,0,
20220324,四,0,
20220325,五,0,
20220326,六,2,
20220327,日,2,
20220328,一,0,
20220329,二,0,
20220330,三,0,
20220331,四,0,
20220401,五,0,
20220402,六,2,
20220403,日,2,
20220404,一,2,兒童節
20220405,二,2,民族掃墓節
20220406,三,0,
20220407,四,0,
20220408,五,0,
20220409,六,2,
20220410,日,2,
20220411,一,0,
20220412,二,0,
20220413,三,0,
20220414,四,0,
20220415,五,0,
20220416,六,2,
20220417,日,2,
20220418,一,0,
20220419,二,0,
20220420,三,0,
20220421,四,0,
20220422,五,0,
20220423,六,2,
20220424,日,2,
20220425,一,0,
20220426,二,0,
20220427,三,0,
20220428,四,0,
20220429,五,0,
20220430,六,2,
20220501,日,2,
20220502,一,0,
20220503,二,0,
20220504,三,0,
20220505,四,0,
20220506,五,0,
20220507,六,2,
20220508,日,2,
20220509,一,0,
20220510,二,0,
20220511,三,0,
20220512,四,0,
20220513,五,0,
20220514,六,2,
20220515,日,2,
20220516,一,0,
20220517,二,0,
20220518,三,0,
20220519,四,0,
20220520,五,0,
20220521,六,2,
20220522,日,2,
20220523,一,0,
20220524,二,0,
20220525,三,0,
20220526,四,0,
20220527,五,0,
20220528,六,2,
20220529,日,2,
20220530,一,0,
20220531,二,0,
