id,個案研判日,個案公佈日,縣市別,區域,新增確診人數,累計確診人數
45,2022-06-09,2022-06-09,台北市,全區,4891,311245
46,2022-06-09,2022-06-09,台北市,北投區,503,33001
47,2022-06-09,2022-06-09,台北市,文山區,550,32507
48,2022-06-09,2022-06-09,台北市,士林區,450,32484
49,2022-06-09,2022-06-09,台北市,萬華區,341,32145
50,2022-06-09,2022-06-09,台北市,內湖區,527,31635
51,2022-06-09,2022-06-09,台北市,信義區,468,27941
52,2022-06-09,2022-06-09,台北市,中山區,441,27678
53,2022-06-09,2022-06-09,台北市,大安區,463,26168
54,2022-06-09,2022-06-09,台北市,松山區,361,20342
55,2022-06-09,2022-06-09,台北市,大同區,274,16785
56,2022-06-09,2022-06-09,台北市,南港區,269,16165
57,2022-06-09,2022-06-09,台北市,中正區,244,14394
435,2022-06-08,2022-06-08,台北市,全區,4833,306354
436,2022-06-08,2022-06-08,台北市,北投區,532,32498
437,2022-06-08,2022-06-08,台北市,士林區,411,32034
438,2022-06-08,2022-06-08,台北市,文山區,439,31957
439,2022-06-08,2022-06-08,台北市,萬華區,359,31804
440,2022-06-08,2022-06-08,台北市,內湖區,682,31108
441,2022-06-08,2022-06-08,台北市,信義區,521,27473
442,2022-06-08,2022-06-08,台北市,中山區,457,27237
443,2022-06-08,2022-06-08,台北市,大安區,432,25705
444,2022-06-08,2022-06-08,台北市,松山區,318,19981
445,2022-06-08,2022-06-08,台北市,大同區,247,16511
446,2022-06-08,2022-06-08,台北市,南港區,229,15896
447,2022-06-08,2022-06-08,台北市,中正區,206,14150
823,2022-06-07,2022-06-07,台北市,全區,4753,301521
824,2022-06-07,2022-06-07,台北市,北投區,529,31966
825,2022-06-07,2022-06-07,台北市,士林區,470,31623
826,2022-06-07,2022-06-07,台北市,文山區,461,31518
827,2022-06-07,2022-06-07,台北市,萬華區,321,31445
828,2022-06-07,2022-06-07,台北市,內湖區,607,30426
829,2022-06-07,2022-06-07,台北市,信義區,496,26952
830,2022-06-07,2022-06-07,台北市,中山區,432,26780
831,2022-06-07,2022-06-07,台北市,大安區,368,25273
832,2022-06-07,2022-06-07,台北市,松山區,349,19663
833,2022-06-07,2022-06-07,台北市,大同區,254,16264
834,2022-06-07,2022-06-07,台北市,南港區,258,15667
835,2022-06-07,2022-06-07,台北市,中正區,208,13944
1214,2022-06-06,2022-06-06,台北市,全區,4982,296768
1215,2022-06-06,2022-06-06,台北市,北投區,588,31437
