,觀測時間(day),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),降水量(mm),日最高紫外線指數,日客流量,0:工作日 1:假日,新增確診人數
0,2020-01-01,16.0,13.5,85.0,3.9,0.0,2.0,1768450.0,1.0,0
1,2020-01-02,19.9,13.9,70.0,3.8,0.0,5.0,2375895.0,0.0,0
2,2020-01-03,21.0,13.8,65.0,3.1,0.0,5.0,2559124.0,0.0,0
3,2020-01-04,21.1,14.5,68.0,2.6,0.0,5.0,2130903.0,1.0,0
4,2020-01-05,22.1,16.2,71.0,3.7,0.0,6.0,1770021.0,1.0,0
5,2020-01-06,21.6,16.4,74.0,0.8,0.0,5.0,2272277.0,0.0,0
6,2020-01-07,22.3,16.3,72.0,1.2,0.0,4.0,2316816.0,0.0,0
7,2020-01-08,18.4,12.5,69.0,4.4,0.0,5.0,2364455.0,0.0,0
8,2020-01-09,19.2,12.5,66.0,4.0,0.0,5.0,2589167.0,0.0,0
9,2020-01-10,21.6,15.6,70.0,2.4,0.0,5.0,2678263.0,0.0,0
10,2020-01-11,19.9,15.3,76.0,1.3,0.0,5.0,1833675.0,1.0,0
11,2020-01-12,15.7,11.6,77.0,2.6,0.0,1.0,1749483.0,1.0,0
12,2020-01-13,16.3,13.3,82.0,2.9,6.0,2.0,2317961.0,0.0,0
13,2020-01-14,17.7,13.8,79.0,2.6,0.1,4.0,2342929.0,0.0,0
14,2020-01-15,18.2,14.6,80.0,3.4,0.0,4.0,2370114.0,0.0,0
15,2020-01-16,19.6,15.3,77.0,1.6,0.1,5.0,2488589.0,0.0,0
16,2020-01-17,15.9,12.9,83.0,1.8,2.2,1.0,2531572.0,0.0,0
17,2020-01-18,14.6,10.2,75.0,2.3,0.0,2.0,2148604.0,1.0,0
18,2020-01-19,14.8,12.8,88.0,1.5,2.0,0.0,1894255.0,1.0,0
19,2020-01-20,15.9,10.8,73.0,2.4,0.0,5.0,2412320.0,0.0,0
20,2020-01-21,18.3,11.7,67.0,3.6,0.0,6.0,2417080.0,0.0,0
21,2020-01-22,20.8,14.1,68.0,0.9,0.0,5.0,2308679.0,0.0,0
22,2020-01-23,21.6,16.4,74.0,1.2,0.0,4.0,1369339.0,1.0,0
23,2020-01-24,21.3,18.1,83.0,1.6,0.4,5.0,823931.0,1.0,0
24,2020-01-25,20.2,17.6,86.0,1.8,0.7,4.0,1319053.0,1.0,0
25,2020-01-26,17.8,17.0,95.0,1.5,24.5,2.0,1103763.0,1.0,0
26,2020-01-27,14.7,12.4,86.0,1.9,2.1,2.0,1343930.0,1.0,0
27,2020-01-28,14.0,10.3,79.0,1.8,0.5,1.0,1404627.0,1.0,0
28,2020-01-29,12.0,8.0,77.0,1.2,0.1,1.0,1314694.0,1.0,0
29,2020-01-30,11.9,3.2,59.0,1.8,0.0,6.0,1933378.0,0.0,0
30,2020-01-31,12.0,3.8,60.0,2.3,0.0,6.0,2088499.0,0.0,0
31,2020-02-01,13.9,6.5,63.0,2.9,0.0,7.0,1692542.0,1.0,0
32,2020-02-02,17.7,9.8,62.0,2.0,0.0,6.0,1486380.0,1.0,0
33,2020-02-03,17.9,12.9,74.0,1.4,0.1,6.0,2022237.0,0.0,0
34,2020-02-04,17.1,15.7,92.0,1.3,8.1,2.0,2016734.0,0.0,0
35,2020-02-05,16.0,13.4,85.0,2.8,6.8,2.0,2028045.0,0.0,0
36,2020-02-06,19.4,14.4,74.0,3.3,0.0,6.0,2052713.0,0.0,0
37,2020-02-07,16.7,14.5,87.0,2.0,3.8,3.0,2118396.0,0.0,0
38,2020-02-08,16.2,10.9,71.0,2.3,0.0,1.0,1492598.0,1.0,0
39,2020-02-09,14.9,10.4,74.0,2.7,0.0,1.0,1303966.0,1.0,0
40,2020-02-10,16.9,9.4,62.0,3.6,0.0,6.0,1932576.0,0.0,0
41,2020-02-11,19.2,12.9,68.0,1.1,0.0,4.0,1959471.0,0.0,0
42,2020-02-12,21.5,13.9,67.0,0.9,0.0,7.0,2018313.0,0.0,0
43,2020-02-13,22.3,17.0,75.0,1.3,0.7,7.0,2003630.0,0.0,0
44,2020-02-14,21.7,18.0,82.0,1.5,1.8,6.0,2147042.0,0.0,0
45,2020-02-15,22.9,18.6,78.0,1.5,0.0,8.0,1932682.0,0.0,0
46,2020-02-16,14.3,11.4,83.0,3.2,8.0,2.0,1315524.0,1.0,0
47,2020-02-17,11.8,3.5,57.0,2.5,0.0,4.0,1906983.0,0.0,0
48,2020-02-18,13.9,4.3,53.0,3.8,0.0,7.0,1960860.0,0.0,0
49,2020-02-19,18.0,9.5,59.0,2.2,0.0,7.0,1994380.0,0.0,0
50,2020-02-20,18.0,13.4,76.0,3.0,0.0,7.0,1987124.0,0.0,0
51,2020-02-21,20.8,14.6,70.0,2.1,0.0,7.0,2083925.0,0.0,0
52,2020-02-22,19.0,15.5,81.0,3.0,0.3,6.0,1567585.0,1.0,0
53,2020-02-23,19.4,14.3,73.0,4.4,0.0,4.0,1324637.0,1.0,0
54,2020-02-24,23.1,16.2,67.0,2.3,0.0,8.0,1909235.0,0.0,0
55,2020-02-25,23.5,15.6,66.0,1.1,0.0,7.0,2013309.0,0.0,0
56,2020-02-26,23.1,16.7,70.0,2.7,0.0,7.0,2024371.0,0.0,0
57,2020-02-27,19.4,16.0,81.0,4.4,0.0,4.0,2115795.0,0.0,0
58,2020-02-28,21.9,17.2,76.0,1.6,0.0,5.0,1362756.0,1.0,0
59,2020-02-29,22.7,16.7,72.0,1.0,0.0,6.0,1348417.0,1.0,0
60,2020-03-01,21.2,16.8,77.0,1.8,0.0,6.0,1150025.0,1.0,0
61,2020-03-02,17.6,12.5,73.0,4.5,0.0,7.0,1920864.0,0.0,0
62,2020-03-03,20.4,15.0,72.0,3.7,0.0,5.0,1947228.0,0.0,0
