date,passengers
109年1月01日,1768450
109年1月02日,2375895
109年1月03日,2559124
109年1月04日,2130903
109年1月05日,1770021
109年1月06日,2272277
109年1月07日,2316816
109年1月08日,2364455
109年1月09日,2589167
109年1月10日,2678263
109年1月11日,1833675
109年1月12日,1749483
109年1月13日,2317961
109年1月14日,2342929
109年1月15日,2370114
109年1月16日,2488589
109年1月17日,2531572
109年1月18日,2148604
109年1月19日,1894255
109年1月20日,2412320
109年1月21日,2417080
109年1月22日,2308679
109年1月23日,1369339
109年1月24日,823931
109年1月25日,1319053
109年1月26日,1103763
109年1月27日,1343930
109年1月28日,1404627
109年1月29日,1314694
109年1月30日,1933378
109年1月31日,2088499
109年2月01日,1692542
109年2月02日,1486380
109年2月03日,2022237
109年2月04日,2016734
109年2月05日,2028045
109年2月06日,2052713
109年2月07日,2118396
109年2月08日,1492598
109年2月09日,1303966
109年2月10日,1932576
109年2月11日,1959471
109年2月12日,2018313
109年2月13日,2003630
109年2月14日,2147042
109年2月15日,1932682
109年2月16日,1315524
109年2月17日,1906983
109年2月18日,1960860
109年2月19日,1994380
109年2月20日,1987124
109年2月21日,2083925
109年2月22日,1567585
109年2月23日,1324637
109年2月24日,1909235
109年2月25日,2013309
109年2月26日,2024371
109年2月27日,2115795
109年2月28日,1362756
109年2月29日,1348417
109年3月01日,1150025
109年3月02日,1920864
109年3月03日,1947228
109年3月04日,1968071
109年3月05日,1992040
109年3月06日,2122101
109年3月07日,1491282
109年3月08日,1241387
109年3月09日,1927134
109年3月10日,1976742
109年3月11日,2005818
109年3月12日,2000021
109年3月13日,2143990
109年3月14日,1456154
109年3月15日,1302332
109年3月16日,1914626
109年3月17日,1932140
109年3月18日,1918991
109年3月19日,1879624
109年3月20日,1978848
109年3月21日,1269298
109年3月22日,1044512
109年3月23日,1756821
109年3月24日,1791544
109年3月25日,1798767
109年3月26日,1797910
109年3月27日,1898513
109年3月28日,1133786
109年3月29日,1015207
109年3月30日,1744832
109年3月31日,1799561
109年4月01日,1845945
109年4月02日,963077
109年4月03日,906102
109年4月04日,808469
